id;titre_cas;risk_level_aiact;Q3;Q10;Q55;risk_article;risk_justification
FR-INT-01;Reconnaissance d'émotions au travail;interdit;Une PME de services installe un système qui analyse en continu, via la webcam des postes, les expressions faciales des salariés pour mesurer leur engagement. Le flux vidéo est traité en permanence, sans finalité de sécurité et sans consentement explicite des personnes filmées.;oui;oui;Art.5(1)(f);Reconnaissance des émotions sur le lieu de travail = pratique interdite (Art.5(1)(f)).
FR-INT-02;Ciblage exploitant une vulnérabilité;interdit;Un courtier en assurance cible des personnes âgées isolées avec des messages conçus pour exploiter leur vulnérabilité et les pousser à souscrire une assurance. Le système repère les profils les plus influençables à partir de données socio-démographiques et de signaux d'isolement.;oui;non;Art.5(1)(b);Exploitation de la vulnérabilité liée à l'âge/situation = pratique interdite (Art.5(1)(b)).
FR-INT-03;Catégorisation biométrique (origine);interdit;Une enseigne de retail infère l'origine ethnique présumée des clients à partir de leur visage, capté par des caméras en magasin, afin de personnaliser les offres. Le traitement repose sur des données biométriques.;oui;oui;Art.5(1)(g);Catégorisation biométrique de caractéristiques protégées (origine) = interdit (Art.5(1)(g)).
FR-HR-01;Scoring de crédit à la consommation;haut_risque;Un établissement de crédit décide automatiquement l'octroi ou le refus d'un crédit à la consommation. La décision s'appuie sur les revenus, l'historique bancaire et des données comportementales, et s'applique directement aux personnes.;oui;non;Art.6 + Annexe III §5(b);Accès aux services essentiels / crédit (Annexe III §5) + décision automatisée sur personnes = haut risque.
FR-HR-02;Tri des dossiers d'admission (formation);haut_risque;Un organisme de formation classe et présélectionne automatiquement les dossiers de candidature, à partir des dossiers scolaires et des lettres de motivation. Le classement oriente l'admission des candidats.;oui;non;Art.6 + Annexe III §3;Éducation / accès à la formation (Annexe III §3) + influence sur l'admission = haut risque.
FR-HR-03;Aide au diagnostic médical (imagerie);haut_risque;Un cabinet d'imagerie utilise un système d'aide au diagnostic à partir d'images radiologiques et du dossier patient. Les résultats orientent la décision médicale concernant des personnes.;oui;oui;Art.6(1) + Annexe I (dispositif médical / composant de sécurité);Composant de sécurité d'un dispositif médical réglementé (Annexe I). Reclassé depuis Annexe III.
FR-LIM-01;IA générative de descriptions produits;limite;Un site e-commerce génère automatiquement les descriptions de ses produits à partir de son catalogue. Le contenu est publié tel quel, sans mention systématique de son origine artificielle. Aucune donnée personnelle ni décision sur des personnes.;non;non;Art.50;"Contenu généré par IA ? obligation de transparence (Art.50) ; pas d'usage Annexe III ? risque limité."
FR-LIM-02;Chatbot RH interne (info);limite;Une PME met à disposition de ses salariés un chatbot interne répondant aux questions sur les congés et la paie, à partir de la FAQ RH et de la convention collective. Il ne prend aucune décision et n'indique pas toujours qu'il s'agit d'une IA.;oui;non;Art.50;"Interaction IA-personne sans décision lourde ? transparence (Art.50) ; risque limité."
FR-LIM-03;Synthèse vocale / deepfake (marketing);limite;Une agence de communication produit des voix de synthèse imitant une personne réelle pour des vidéos marketing, à partir d'échantillons de voix et de scripts. Le caractère artificiel de la voix n'est pas systématiquement signalé au public.;oui;oui;Art.50(4);"Contenu artificiellement manipulé (deepfake) ? obligation de signalement (Art.50(4)) ; risque limité."
FR-MIN-01;Filtre anti-spam;minimal;Un outil filtre les emails indésirables (spam) à partir des messages entrants. Il n'a pas d'impact décisionnel sur des personnes et se limite au classement technique des messages.;oui;non;—;Pas d'usage sensible ni de décision sur personnes ? risque minimal.
