id,split,secteur_grp,role,donnees_perso,donnees_sensibles,type_ia_norm,risk_level_aiact,origine,regle
FR-INT-01,train,rh_emploi,déployeur,oui,oui,biometrie,interdit,reference,
FR-INT-02,train,autre,déployeur,oui,non,scoring,interdit,reference,
FR-INT-03,train,commerce_marketing,déployeur,oui,oui,biometrie,interdit,reference,
FR-HR-01,train,finance_assurance,déployeur,oui,non,scoring,haut_risque,reference,
FR-HR-02,train,education,déployeur,oui,non,scoring,haut_risque,reference,
FR-HR-03,train,sante,déployeur,oui,oui,vision,haut_risque,reference,
FR-LIM-01,train,commerce_marketing,déployeur,non,non,generatif_llm,limite,reference,
FR-LIM-02,train,rh_emploi,déployeur,oui,non,chatbot_dialogue,limite,reference,
FR-LIM-03,train,autre,déployeur,oui,oui,generatif_llm,limite,reference,
FR-MIN-01,train,autre,déployeur,oui,non,ml_tabulaire,minimal,reference,
FR-MIN-02,train,commerce_marketing,déployeur,non,non,autre,minimal,reference,
FR-MIN-03,train,autre,déployeur,non,non,autre,minimal,reference,
JURY-RH-HR-01,train,rh_emploi,déployeur,oui,non,scoring,haut_risque,reference,
JURY-CHAT-LIM-01,train,commerce_marketing,déployeur,oui,non,chatbot_dialogue,limite,reference,
JURY-FID-INT-01,train,commerce_marketing,déployeur,oui,non,scoring,interdit,reference,
JURY-DB-NA-01,train,autre,déployeur,oui,non,autre,hors_champ,reference,
FR-HR-A1-01,train,transport_logistique,fournisseur,non,non,vision,haut_risque,reference,
FR-HR-A1-02,train,sante,fournisseur,oui,oui,ml_tabulaire,haut_risque,reference,
FR-HR-A1-03,train,industrie_energie_infra,déployeur,non,non,vision,haut_risque,reference,
FR-MIN-A1-01,train,industrie_energie_infra,déployeur,non,non,ml_tabulaire,minimal,reference,
FR-HR-A3-01,train,autre,déployeur,oui,oui,biometrie,haut_risque,reference,
FR-HR-A3-02,train,industrie_energie_infra,déployeur,non,non,ml_tabulaire,haut_risque,reference,
FR-HR-A3-03,train,finance_assurance,déployeur,oui,oui,scoring,haut_risque,reference,
FR-HR-A3-04,train,public_justice_securite,déployeur,oui,oui,scoring,haut_risque,reference,
FR-HR-A3-05,train,public_justice_securite,déployeur,oui,oui,scoring,haut_risque,reference,
FR-HR-A3-06,train,public_justice_securite,déployeur,oui,oui,ml_tabulaire,haut_risque,reference,
TRN-HR-01,train,transport_logistique,déployeur,oui,oui,biometrie,haut_risque,reference,
TRN-HR-02,train,industrie_energie_infra,déployeur,non,non,ml_tabulaire,haut_risque,reference,
TRN-HR-03,train,education,déployeur,oui,non,scoring,haut_risque,reference,
TRN-HR-04,train,education,déployeur,oui,non,nlp,haut_risque,reference,
TRN-HR-05,train,education,déployeur,oui,non,vision,haut_risque,reference,
TRN-HR-06,train,tech_media_plateforme,déployeur,oui,non,scoring,haut_risque,reference,
TRN-HR-07,train,public_justice_securite,déployeur,oui,non,scoring,haut_risque,reference,
TRN-HR-08,train,finance_assurance,déployeur,oui,non,scoring,haut_risque,reference,
TRN-HR-09,train,finance_assurance,déployeur,oui,oui,scoring,haut_risque,reference,
TRN-HR-10,train,sante,déployeur,oui,oui,scoring,haut_risque,reference,
TRN-HR-11,train,public_justice_securite,déployeur,oui,non,nlp,haut_risque,reference,
TRN-HR-12,train,public_justice_securite,déployeur,oui,oui,scoring,haut_risque,reference,
TRN-HR-13,train,public_justice_securite,déployeur,oui,non,scoring,haut_risque,reference,
TRN-HR-14,train,public_justice_securite,déployeur,oui,oui,nlp,haut_risque,reference,
TRN-HR-15,train,public_justice_securite,déployeur,oui,non,nlp,haut_risque,reference,
TRN-HR-16,train,industrie_energie_infra,fournisseur,non,non,vision,haut_risque,reference,
TRN-HR-17,train,sante,fournisseur,oui,oui,vision,haut_risque,reference,
TRN-HR-18,train,sante,fournisseur,oui,oui,vision,haut_risque,reference,
TRN-HR-19,train,industrie_energie_infra,fournisseur,non,non,ml_tabulaire,haut_risque,reference,
TRN-HR-20,train,industrie_energie_infra,fournisseur,oui,non,ml_tabulaire,haut_risque,reference,
TRN-HR-21,train,industrie_energie_infra,fournisseur,non,non,ml_tabulaire,haut_risque,reference,
TRN-HR-22,train,public_justice_securite,déployeur,non,non,ml_tabulaire,haut_risque,reference,
TRN-HR-23,train,public_justice_securite,déployeur,oui,non,scoring,haut_risque,reference,
TRN-HR-24,train,education,déployeur,oui,non,nlp,haut_risque,reference,
TRN-HR-25,train,public_justice_securite,déployeur,oui,non,scoring,haut_risque,reference,
TRN-HR-26,train,finance_assurance,déployeur,oui,non,scoring,minimal,reference,
TRN-HR-27,train,finance_assurance,déployeur,oui,oui,scoring,haut_risque,reference,
TRN-HR-28,train,sante,déployeur,oui,oui,scoring,haut_risque,reference,
TRN-HR-29,train,public_justice_securite,déployeur,oui,oui,scoring,haut_risque,reference,
TRN-HR-30,train,industrie_energie_infra,fournisseur,non,non,vision,haut_risque,reference,
TRN-HR-31,train,sante,fournisseur,oui,oui,vision,haut_risque,reference,
TRN-HR-32,train,industrie_energie_infra,fournisseur,non,non,vision,haut_risque,reference,
TRN-HR-33,train,industrie_energie_infra,fournisseur,non,non,ml_tabulaire,haut_risque,reference,
TRN-HR-34,train,industrie_energie_infra,déployeur,non,non,ml_tabulaire,haut_risque,reference,
TRN-HR-35,train,education,déployeur,oui,non,scoring,haut_risque,reference,
TRN-HR-36,train,finance_assurance,déployeur,oui,non,scoring,haut_risque,reference,
TRN-HR-37,train,finance_assurance,déployeur,oui,oui,scoring,haut_risque,reference,
TRN-HR-38,train,public_justice_securite,déployeur,oui,non,nlp,haut_risque,reference,
TRN-HR-39,train,industrie_energie_infra,fournisseur,non,non,vision,haut_risque,reference,
TRN-HR-40,train,sante,fournisseur,oui,oui,vision,haut_risque,reference,
TRN-HR-41,train,industrie_energie_infra,fournisseur,oui,non,vision,haut_risque,reference,
TRN-HR-42,train,industrie_energie_infra,fournisseur,non,non,ml_tabulaire,haut_risque,reference,
TRN-HR-43,train,rh_emploi,déployeur,oui,non,scoring,haut_risque,reference,
TRN-HR-44,train,public_justice_securite,déployeur,oui,non,scoring,haut_risque,reference,
TRN-HR-45,train,finance_assurance,déployeur,oui,non,scoring,haut_risque,reference,
TRN-HR-46,train,industrie_energie_infra,fournisseur,non,non,vision,haut_risque,reference,
TRN-HR-47,train,rh_emploi,déployeur,oui,non,nlp,haut_risque,reference,
TRN-INT-01,train,commerce_marketing,déployeur,oui,non,generatif_llm,interdit,reference,
TRN-INT-02,train,finance_assurance,déployeur,oui,non,scoring,interdit,reference,
TRN-INT-03,train,commerce_marketing,déployeur,oui,non,scoring,interdit,reference,
TRN-INT-04,train,public_justice_securite,déployeur,oui,non,scoring,interdit,reference,
TRN-INT-05,train,public_justice_securite,déployeur,oui,oui,scoring,interdit,reference,
TRN-INT-06,train,tech_media_plateforme,déployeur,oui,oui,vision,interdit,reference,
TRN-INT-07,train,rh_emploi,déployeur,oui,oui,biometrie,interdit,reference,
TRN-INT-08,train,commerce_marketing,déployeur,oui,oui,biometrie,interdit,reference,
TRN-INT-09,train,public_justice_securite,déployeur,oui,oui,biometrie,interdit,reference,
TRN-INT-10,train,commerce_marketing,déployeur,oui,non,generatif_llm,interdit,reference,
TRN-INT-11,train,tech_media_plateforme,déployeur,oui,non,scoring,interdit,reference,
TRN-INT-12,train,services,déployeur,oui,non,scoring,interdit,reference,
TRN-INT-13,train,commerce_marketing,déployeur,oui,non,scoring,interdit,reference,
TRN-INT-14,train,public_justice_securite,déployeur,oui,oui,scoring,interdit,reference,
TRN-INT-15,train,public_justice_securite,déployeur,oui,oui,vision,interdit,reference,
TRN-INT-16,train,education,déployeur,oui,oui,biometrie,interdit,reference,
TRN-INT-17,train,commerce_marketing,déployeur,oui,oui,biometrie,interdit,reference,
TRN-INT-18,train,public_justice_securite,déployeur,oui,oui,biometrie,interdit,reference,
TRN-INT-19,train,finance_assurance,déployeur,oui,non,generatif_llm,interdit,reference,
TRN-INT-20,train,finance_assurance,déployeur,oui,non,scoring,interdit,reference,
TRN-INT-21,train,public_justice_securite,déployeur,oui,non,scoring,interdit,reference,
TRN-INT-22,train,services,déployeur,oui,oui,biometrie,interdit,reference,
TRN-INT-23,train,commerce_marketing,déployeur,oui,oui,biometrie,interdit,reference,
TRN-INT-24,train,transport_logistique,déployeur,oui,oui,biometrie,haut_risque,reference,
TRN-LIM-01,train,commerce_marketing,déployeur,oui,non,chatbot_dialogue,limite,reference,
TRN-LIM-02,train,commerce_marketing,déployeur,non,non,generatif_llm,limite,reference,
TRN-LIM-03,train,commerce_marketing,déployeur,oui,non,generatif_llm,limite,reference,
TRN-LIM-04,train,services,déployeur,oui,non,chatbot_dialogue,limite,reference,
TRN-LIM-05,train,tech_media_plateforme,déployeur,non,non,generatif_llm,limite,reference,
TRN-LIM-06,train,tech_media_plateforme,déployeur,oui,non,generatif_llm,limite,reference,
TRN-LIM-07,train,rh_emploi,déployeur,oui,non,chatbot_dialogue,limite,reference,
TRN-LIM-08,train,commerce_marketing,déployeur,non,non,generatif_llm,limite,reference,
TRN-LIM-09,train,tech_media_plateforme,déployeur,oui,non,generatif_llm,limite,reference,
TRN-LIM-10,train,finance_assurance,déployeur,oui,non,chatbot_dialogue,limite,reference,
TRN-LIM-11,train,services,déployeur,oui,non,generatif_llm,limite,reference,
TRN-LIM-12,train,commerce_marketing,déployeur,oui,non,generatif_llm,limite,reference,
TRN-LIM-13,train,commerce_marketing,déployeur,oui,non,chatbot_dialogue,limite,reference,
TRN-LIM-14,train,commerce_marketing,déployeur,non,non,generatif_llm,limite,reference,
TRN-LIM-15,train,commerce_marketing,déployeur,non,non,generatif_llm,limite,reference,
TRN-LIM-16,train,sante,déployeur,oui,oui,chatbot_dialogue,limite,reference,
TRN-LIM-17,train,industrie_energie_infra,déployeur,non,non,generatif_llm,limite,reference,
TRN-LIM-18,train,tech_media_plateforme,déployeur,oui,non,generatif_llm,limite,reference,
TRN-LIM-19,train,finance_assurance,déployeur,oui,non,chatbot_dialogue,limite,reference,
TRN-LIM-20,train,commerce_marketing,déployeur,oui,non,generatif_llm,limite,reference,
TRN-LIM-21,train,rh_emploi,déployeur,oui,non,generatif_llm,limite,reference,
TRN-LIM-22,train,tech_media_plateforme,déployeur,oui,non,chatbot_dialogue,limite,reference,
TRN-LIM-23,train,tech_media_plateforme,déployeur,non,non,generatif_llm,minimal,reference,
TRN-LIM-24,train,commerce_marketing,déployeur,oui,non,generatif_llm,limite,reference,
TRN-MIN-01,train,services,déployeur,oui,non,ml_tabulaire,minimal,reference,
TRN-MIN-02,train,industrie_energie_infra,déployeur,non,non,ml_tabulaire,minimal,reference,
TRN-MIN-03,train,industrie_energie_infra,fournisseur,non,non,ml_tabulaire,minimal,reference,
TRN-MIN-04,train,industrie_energie_infra,déployeur,non,non,ml_tabulaire,minimal,reference,
TRN-MIN-05,train,transport_logistique,déployeur,non,non,ml_tabulaire,minimal,reference,
TRN-MIN-06,train,commerce_marketing,déployeur,non,non,ml_tabulaire,minimal,reference,
TRN-MIN-07,train,tech_media_plateforme,déployeur,non,non,ml_tabulaire,minimal,reference,
TRN-MIN-08,train,tech_media_plateforme,déployeur,oui,non,ml_tabulaire,minimal,reference,
TRN-MIN-09,train,tech_media_plateforme,déployeur,oui,non,ml_tabulaire,minimal,reference,
TRN-MIN-10,train,industrie_energie_infra,déployeur,non,non,ml_tabulaire,minimal,reference,
TRN-MIN-11,train,commerce_marketing,déployeur,non,non,ml_tabulaire,minimal,reference,
TRN-MIN-12,train,transport_logistique,déployeur,oui,non,ml_tabulaire,minimal,reference,
TRN-MIN-13,train,services,déployeur,oui,non,ml_tabulaire,minimal,reference,
TRN-MIN-14,train,tech_media_plateforme,déployeur,non,non,ml_tabulaire,minimal,reference,
TRN-MIN-15,train,tech_media_plateforme,déployeur,non,non,ml_tabulaire,minimal,reference,
TRN-MIN-16,train,services,déployeur,non,non,ml_tabulaire,minimal,reference,
TRN-MIN-17,train,tech_media_plateforme,déployeur,oui,non,ml_tabulaire,minimal,reference,
TRN-MIN-18,train,commerce_marketing,déployeur,non,non,ml_tabulaire,minimal,reference,
TRN-MIN-19,train,tech_media_plateforme,déployeur,non,non,ml_tabulaire,minimal,reference,
TRN-MIN-20,train,tech_media_plateforme,déployeur,non,non,ml_tabulaire,minimal,reference,
TRN-HC-01,train,services,déployeur,oui,non,aucun_pas_une_ia,hors_champ,reference,
TRN-HC-02,train,rh_emploi,déployeur,oui,non,aucun_pas_une_ia,hors_champ,reference,
TRN-HC-03,train,finance_assurance,déployeur,non,non,aucun_pas_une_ia,hors_champ,reference,
TRN-HC-04,train,finance_assurance,déployeur,oui,non,aucun_pas_une_ia,hors_champ,reference,
TRN-HC-05,train,finance_assurance,déployeur,oui,non,aucun_pas_une_ia,hors_champ,reference,
TRN-HC-06,train,transport_logistique,déployeur,oui,non,aucun_pas_une_ia,hors_champ,reference,
TRN-HC-07,train,industrie_energie_infra,déployeur,non,non,aucun_pas_une_ia,hors_champ,reference,
TRN-HC-08,train,commerce_marketing,déployeur,oui,non,aucun_pas_une_ia,hors_champ,reference,
TRN-HC-09,train,services,déployeur,non,non,aucun_pas_une_ia,hors_champ,reference,
TRN-HR-48,train,services,déployeur,oui,non,biometrie,haut_risque,reference,
TRN-INT-25,train,commerce_marketing,déployeur,oui,oui,biometrie,interdit,reference,
TRN-HR-49,train,tech_media_plateforme,déployeur,oui,oui,generatif_llm,haut_risque,reference,
TRN-HR-50,train,public_justice_securite,déployeur,oui,oui,scoring,haut_risque,reference,
