texte,label
"Le projet utilise la reconnaissance faciale pour contrôler l'accès aux bâtiments.",1
"Le chatbot répond aux questions des clients.",0
"L'IA aide à recruter des candidats.",1
"Le système classe automatiquement les emails.",0
"Une IA analyse des dossiers médicaux.",1
"Le moteur recommande des produits.",0
"Le projet surveille les employés par caméra.",1
"Le système traduit automatiquement des documents.",0
"Une IA détecte les fraudes bancaires.",1
"Le moteur résume des rapports internes.",0
